image_size: 512, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
352.036000	11
352.486000	11
352.754000	11
352.817000	11
352.630000	11
352.554000	11
352.580000	11
352.808000	11
352.789000	11
352.780000	11
472.261000	21
472.498000	21
472.628000	21
473.390000	21
473.515000	21
472.879000	21
472.268000	21
472.801000	21
472.492000	21
472.533000	21
591.668000	31
591.270000	31
591.586000	31
592.082000	31
592.409000	31
591.468000	31
591.922000	31
591.248000	31
591.590000	31
592.100000	31
603.310000	41
604.116000	41
603.648000	41
603.703000	41
603.147000	41
603.645000	41
603.757000	41
603.864000	41
603.604000	41
603.463000	41
603.492000	51
603.675000	51
603.971000	51
603.817000	51
604.267000	51
603.724000	51
603.852000	51
604.138000	51
603.931000	51
603.649000	51
608.034000	61
609.228000	61
608.013000	61
608.997000	61
609.015000	61
608.635000	61
607.391000	61
607.505000	61
607.687000	61
629.542000	61
