image_size: 358, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
133.584000	7
133.614000	7
133.607000	7
133.579000	7
133.576000	7
162.160000	7
134.231000	7
133.577000	7
133.557000	7
133.734000	7
169.619000	13
169.663000	13
169.545000	13
169.596000	13
169.699000	13
169.565000	13
169.692000	13
169.582000	13
169.498000	13
169.506000	13
205.500000	19
206.162000	19
205.653000	19
234.747000	19
205.665000	19
205.772000	19
205.699000	19
205.736000	19
205.712000	19
205.683000	19
242.303000	25
242.300000	25
241.727000	25
241.697000	25
241.821000	25
241.786000	25
241.849000	25
241.667000	25
241.742000	25
241.558000	25
277.464000	31
277.575000	31
277.442000	31
277.599000	31
277.467000	31
277.439000	31
277.561000	31
277.520000	31
347.762000	31
277.775000	31
283.748000	37
283.680000	37
283.696000	37
283.668000	37
283.686000	37
283.618000	37
383.943000	37
284.518000	37
283.627000	37
283.672000	37
283.680000	43
283.750000	43
283.691000	43
283.729000	43
283.695000	43
283.531000	43
283.606000	43
283.661000	43
283.719000	43
283.691000	43
284.348000	49
284.433000	49
284.563000	49
284.602000	49
284.362000	49
330.955000	49
285.037000	49
284.495000	49
284.523000	49
284.463000	49
287.486000	55
287.373000	55
287.273000	55
287.037000	55
287.387000	55
287.448000	55
287.033000	55
287.010000	55
286.976000	55
287.399000	55
291.496000	61
291.504000	61
290.924000	61
290.988000	61
291.996000	61
291.630000	61
290.906000	61
291.428000	61
292.469000	61
291.481000	61
293.411000	67
292.917000	67
294.166000	67
292.199000	67
296.550000	67
293.664000	67
292.997000	67
317.351000	67
293.939000	67
295.333000	67
299.673000	73
301.225000	73
299.559000	73
301.300000	73
299.498000	73
301.899000	73
301.043000	73
299.694000	73
302.349000	73
299.073000	73
306.934000	79
306.224000	79
307.275000	79
307.765000	79
307.650000	79
307.253000	79
306.278000	79
305.659000	79
306.139000	79
309.470000	79
317.626000	85
318.299000	85
318.471000	85
317.948000	85
318.037000	85
323.229000	85
316.962000	85
317.134000	85
318.924000	85
318.943000	85
328.781000	91
328.286000	91
329.046000	91
328.221000	91
328.379000	91
328.588000	91
329.259000	91
328.979000	91
329.146000	91
328.915000	91
341.287000	97
341.335000	97
340.932000	97
341.193000	97
342.119000	97
341.189000	97
342.240000	97
341.728000	97
341.274000	97
341.636000	97
