kernel_xy_size: 0, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
4.738000	7
4.763000	7
4.763000	7
4.758000	7
4.750000	7
4.782000	7
4.716000	7
4.731000	7
4.727000	7
4.753000	7
5.925000	13
5.256000	13
5.275000	13
5.272000	13
5.228000	13
5.221000	13
5.274000	13
5.334000	13
5.227000	13
5.290000	13
5.747000	19
5.710000	19
5.729000	19
5.747000	19
5.776000	19
5.734000	19
5.757000	19
5.720000	19
5.747000	19
5.734000	19
6.221000	25
6.190000	25
6.194000	25
6.207000	25
6.273000	25
6.209000	25
6.215000	25
6.235000	25
6.239000	25
6.244000	25
6.674000	31
6.716000	31
6.717000	31
6.768000	31
6.700000	31
6.727000	31
6.676000	31
6.751000	31
6.703000	31
6.691000	31
7.227000	37
7.208000	37
7.182000	37
7.180000	37
7.164000	37
7.236000	37
7.202000	37
7.206000	37
7.230000	37
7.201000	37
7.701000	43
7.729000	43
7.713000	43
7.711000	43
7.724000	43
7.688000	43
7.685000	43
7.708000	43
7.699000	43
7.705000	43
8.218000	49
8.174000	49
8.180000	49
8.160000	49
8.187000	49
8.283000	49
8.200000	49
8.171000	49
8.154000	49
8.164000	49
8.677000	55
8.701000	55
8.648000	55
8.680000	55
8.674000	55
8.622000	55
8.694000	55
8.696000	55
8.656000	55
8.668000	55
9.166000	61
9.699000	61
9.117000	61
9.152000	61
9.181000	61
9.187000	61
9.164000	61
9.152000	61
9.253000	61
9.132000	61
9.624000	67
9.655000	67
9.648000	67
9.649000	67
9.679000	67
9.659000	67
9.680000	67
9.647000	67
9.665000	67
9.617000	67
10.136000	73
10.142000	73
10.152000	73
10.103000	73
10.145000	73
10.172000	73
10.122000	73
10.140000	73
10.235000	73
10.101000	73
10.605000	79
10.605000	79
10.603000	79
10.637000	79
10.612000	79
10.590000	79
10.629000	79
10.661000	79
10.671000	79
10.668000	79
11.110000	85
11.110000	85
11.117000	85
11.161000	85
11.090000	85
11.096000	85
11.079000	85
11.149000	85
11.084000	85
11.098000	85
11.563000	91
11.584000	91
11.570000	91
11.642000	91
11.616000	91
11.583000	91
11.597000	91
11.593000	91
11.613000	91
11.622000	91
11.932000	97
11.931000	97
11.941000	97
11.978000	97
11.957000	97
11.944000	97
11.913000	97
11.920000	97
11.892000	97
11.960000	97
