kernel_xy_size: 43, kernel_eps_size: 21
elapsed_seconds	kernel_xy_size
9.040000	51
8.665000	51
8.370000	51
8.374000	51
8.433000	51
8.361000	51
8.349000	51
8.297000	51
8.300000	51
8.292000	51
25.398000	102
25.485000	102
25.386000	102
25.377000	102
25.428000	102
25.392000	102
25.380000	102
25.440000	102
25.420000	102
25.475000	102
52.864000	153
52.827000	153
52.836000	153
52.891000	153
52.988000	153
52.849000	153
52.834000	153
52.849000	153
52.976000	153
52.861000	153
90.886000	204
90.844000	204
90.878000	204
90.844000	204
90.806000	204
90.896000	204
90.806000	204
90.853000	204
90.789000	204
90.829000	204
140.841000	256
140.886000	256
140.946000	256
140.846000	256
140.846000	256
140.871000	256
140.941000	256
140.898000	256
140.892000	256
140.801000	256
206.172000	307
205.570000	307
205.701000	307
205.569000	307
205.611000	307
205.591000	307
205.597000	307
205.714000	307
205.584000	307
205.573000	307
283.643000	358
283.812000	358
347.320000	358
284.061000	358
283.705000	358
283.716000	358
283.690000	358
283.746000	358
283.688000	358
283.655000	358
370.314000	409
369.134000	409
369.028000	409
369.173000	409
369.052000	409
369.079000	409
369.034000	409
369.088000	409
368.907000	409
368.862000	409
470.602000	460
470.487000	460
470.380000	460
470.903000	460
470.442000	460
470.737000	460
470.851000	460
471.088000	460
470.636000	460
471.225000	460
603.790000	512
669.172000	512
604.463000	512
603.419000	512
603.190000	512
603.885000	512
671.640000	512
604.856000	512
603.619000	512
603.759000	512
